First Name,LastName,Email,Gender,Age,Job Title,YearsOfExperience,Salary,Department
Jose,Lopez,joselopez0944@slingacademy.com,male,25,Project Manager,1,8500,Product
Diane,Carter,dianecarter1228@slingacademy.com,female,26,Machine Learning Engineer,2,7000,Product
Shawn,Foster,shawnfoster2695@slingacademy.com,male,37,Project Manager,14,17000,Product
Brenda,Fisher,brendafisher3185@slingacademy.com,female,31,Web Developer,8,10000,Product
Sean,Hunter,seanhunter4753@slingacademy.com,male,35,Project Manager,11,14500,Product
Joshua,Jacobs,joshuajacobs5904@slingacademy.com,male,28,Project Manager,3,10500,Product
Brianna,Marshall,briannamarshall6438@slingacademy.com,F,33,Machine Learning Engineer,10,11000,Product
John,Tate,johntate7881@slingacademy.com,male,33,Mobile Developer,10,11000,product
Jillian,Byrd,jillianbyrd8170@slingacademy.com,female,34,Web Developer,10,11000,Product
Melanie,Sharp,melaniesharp9256@slingacademy.com,female,41,Web Developer,15,14500,Product
Brandy,Mckee,brandymckee10500@slingacademy.com,F,37,Web Developer,14,14000,Product
Robert,Simpson,robertsimpson11778@slingacademy.com,male,36,DevOps Engineer,12,15000,Product
George,Mckenzie,georgemckenzie12384@slingacademy.com,male,28,Machine Learning Engineer,4,10000,Product
Joseph,Smith,josephsmith13724@slingacademy.com,male,40,Machine Learning Engineer,14,14000,Product
Dana,Crawford,danacrawford14310@slingacademy.com,female,32,Project Manager,8,12000,Product
Christopher,Benson,christopherbenson15937@slingacademy.com,M,29,Web Developer,5,7500,Product
Nicole,Smith,nicolesmith16360@slingacademy.com,female,26,Designer,4,10000,Product
Peter,Jimenez,peterjimenez17791@slingacademy.com,male,28,Mobile Developer,3,6500,product
Sergio,Boyle,sergioboyle18425@slingacademy.com,male,31,Tester,6,9000,Product
Brianna,Moss,briannamoss19517@slingacademy.com,female,31,Designer,5,10500,Product
Taylor,Garner,taylorgarner20196@slingacademy.com,female,32,Machine Learning Engineer,6,11000,Product
Michael,Padilla,michaelpadilla21381@slingacademy.com,M,29,Tester,5,9500,Product
Yvette,Walker,yvettewalker22744@slingacademy.com,female,26,Designer,2,7000,Product
Kristina,Pena,kristinapena23750@slingacademy.com,female,34,DevOps Engineer,11,12500,Product
Vanessa,Reynolds,vanessareynolds24710@slingacademy.com,female,36,Machine Learning Engineer,10,13000,Product
Robert,Suarez,robertsuarez25924@slingacademy.com,male,33,Tester,9,9500,Product
Tammy,Ellis,tammyellis26570@slingacademy.com,female,37,HR Staff,14,14000,Human Resource
Rodney,Porter,rodneyporter27496@slingacademy.com,male,28,DevOps Engineer,3,9500,Product
David,Reyes,davidreyes28592@slingacademy.com,male,25,Designer,2,7000,Product
Brian,Kirby,briankirby29574@slingacademy.com,male,31,Machine Learning Engineer,8,10000,Product
Tammy,Walker,tammywalker30386@slingacademy.com,female,31,Web Developer,7,8500,Product
Angela,Stewart,angelastewart31951@slingacademy.com,female,34,HR Manager,10,10000,Human Resource
Susan,Parker,susanparker32865@slingacademy.com,female,25,DevOps Engineer,3,8500,Product
Robert,Hogan,roberthogan33599@slingacademy.com,male,24,Tester,2,7000,Product
Dawn,Pham,dawnpham34908@slingacademy.com,female,27,Designer,4,9000,Product
Karen,Duke,karenduke35869@slingacademy.com,female,29,DevOps Engineer,6,11000,Product
Julian,Thompson,julianthompson36437@slingacademy.com,male,28,Machine Learning Engineer,4,7000,Product
Daisy,Perry,daisyperry37789@slingacademy.com,female,30,Tester,5,9500,Product
Sarah,Smith,sarahsmith38793@slingacademy.com,female,24,Machine Learning Engineer,2,6000,Product
Eric,Randolph,ericrandolph39291@slingacademy.com,male,29,Designer,5,8500,Product
William,Keller,williamkeller40838@slingacademy.com,male,30,Web Developer,4,8000,Product
George,Salas,georgesalas41217@slingacademy.com,male,35,Web Developer,11,10500,Product
Alyssa,Archer,alyssaarcher42600@slingacademy.com,female,35,DevOps Engineer,13,15500,Product
Daniel,Wagner,danielwagner43907@slingacademy.com,male,35,HR Manager,11,12500,Human Resource
David,Howard,davidhoward44518@slingacademy.com,male,33,Machine Learning Engineer,9,11500,Product
Brett,Friedman,brettfriedman45236@slingacademy.com,male,34,HR Manager,10,10000,Human Resource
Shaun,Harris,shaunharris46875@slingacademy.com,male,23,Designer,1,6500,Product
Jason,Morris,jasonmorris47229@slingacademy.com,male,28,DevOps Engineer,5,9500,Product
Jesse,Mcdaniel,jessemcdaniel48348@slingacademy.com,male,35,Mobile Developer,11,11500,Product
Jessica,Torres,jessicatorres49971@slingacademy.com,female,33,HR Manager,7,9500,Human Resource
